date,temperature (celsius),precipitation (mm/day),pet (mm/day),precip_minus_pet (mm/day),flow_observed (mm/day),flow_predicted (mm/day),saturation_deficit_avgs (mm)
1981-02-20,11.90,22.90,1.14,21.76,14.17,7.20,28.18
1981-02-21,10.00,2.50,1.02,1.48,10.23,0.79,28.35
1981-02-22,11.40,2.50,1.12,1.38,9.45,0.76,28.54
1981-02-23,7.80,20.30,0.90,19.40,11.02,6.76,25.29
1981-02-24,6.10,2.50,0.82,1.68,14.17,0.99,25.58
1981-02-25,8.10,0.00,0.94,-0.94,7.87,0.41,26.17
1981-02-26,5.00,0.00,0.78,-0.78,5.98,0.39,26.73
1981-02-27,4.40,0.00,0.76,-0.76,3.46,0.37,27.25
1981-02-28,3.60,0.00,0.72,-0.72,2.28,0.35,27.75
1981-03-01,1.90,0.00,0.66,-0.66,2.60,0.33,28.23
1981-03-02,3.30,0.00,0.72,-0.72,1.73,0.32,28.68
1981-03-03,2.20,0.00,0.68,-0.68,1.10,0.30,29.12
1981-03-04,-3.60,0.00,0.48,-0.48,0.68,0.29,29.53
1981-03-05,-1.40,2.50,0.55,1.95,0.79,0.86,29.55
1981-03-06,-1.70,0.00,0.55,-0.55,0.94,0.28,29.95
1981-03-07,0.30,0.00,0.62,-0.62,1.18,0.27,30.33
1981-03-08,1.70,0.00,0.69,-0.69,2.60,0.26,30.70
1981-03-09,5.00,0.00,0.85,-0.85,2.91,0.25,31.05
1981-03-10,4.20,0.00,0.81,-0.81,1.73,0.24,31.40
1981-03-11,2.80,2.50,0.75,1.75,0.94,0.76,31.39
1981-03-12,-0.80,0.00,0.61,-0.61,0.87,0.23,31.72
1981-03-13,2.20,0.00,0.74,-0.74,0.71,0.22,32.04
1981-03-14,5.60,0.00,0.92,-0.92,0.54,0.22,32.35
1981-03-15,-1.90,0.00,0.58,-0.58,0.41,0.21,32.65
1981-03-16,4.20,2.50,0.85,1.65,0.56,0.70,32.62
1981-03-17,1.70,0.00,0.74,-0.74,0.40,0.20,32.91
1981-03-18,-3.30,0.00,0.55,-0.55,0.30,0.20,33.20
1981-03-19,-3.10,0.00,0.56,-0.56,0.30,0.19,33.47
1981-03-20,-3.60,0.00,0.54,-0.54,0.28,0.19,33.74
1981-03-21,-3.10,0.00,0.56,-0.56,0.26,0.18,34.00
1981-03-22,1.90,0.00,0.78,-0.78,0.23,0.18,34.26
1981-03-23,4.70,0.00,0.93,-0.93,0.24,0.17,34.51
1981-03-24,2.80,0.00,0.83,-0.83,0.22,0.17,34.75
1981-03-25,5.30,0.00,0.98,-0.98,0.20,0.17,34.99
1981-03-26,2.50,0.00,0.83,-0.83,0.18,0.16,35.22
1981-03-27,5.00,0.00,0.98,-0.98,0.23,0.16,35.44
1981-03-28,6.70,0.00,1.09,-1.09,0.14,0.15,35.66
1981-03-29,8.90,0.00,1.26,-1.26,0.16,0.15,35.88
1981-03-30,13.90,10.20,1.74,8.46,0.76,2.69,34.43
1981-03-31,13.90,10.20,1.75,8.45,0.76,2.71,33.02
1981-04-01,14.70,15.20,1.85,13.35,1.73,4.51,30.61
1981-04-02,14.20,0.00,1.81,-1.81,1.97,0.25,30.97
1981-04-03,9.20,0.00,1.33,-1.33,0.79,0.24,31.31
1981-04-04,14.70,0.00,1.89,-1.89,0.58,0.23,31.65
1981-04-05,18.60,12.70,2.43,10.27,1.34,3.45,28.13
1981-04-06,12.80,0.00,1.71,-1.71,1.97,0.32,28.59
1981-04-07,4.40,0.00,1.02,-1.02,1.02,0.31,29.03
1981-04-08,8.60,0.00,1.33,-1.33,0.61,0.29,29.45
1981-04-09,13.90,0.00,1.86,-1.86,0.54,0.28,29.85
1981-04-10,12.20,0.00,1.69,-1.69,0.46,0.27,30.24
1981-04-11,12.50,2.50,1.73,0.77,0.40,0.49,30.46
1981-04-12,15.60,7.60,2.12,5.48,0.61,1.90,29.76
1981-04-13,8.10,2.50,1.34,1.16,0.54,0.62,29.92
1981-04-14,8.30,20.30,1.36,18.94,6.06,7.05,14.57
1981-04-15,6.90,0.00,1.26,-1.26,3.86,1.24,16.35
1981-04-16,3.10,0.00,1.00,-1.00,1.89,1.04,17.84
1981-04-17,9.40,0.00,1.49,-1.49,0.87,0.90,19.12
1981-04-18,12.80,0.00,1.85,-1.85,0.72,0.79,20.25
1981-04-19,15.30,0.00,2.18,-2.18,0.53,0.71,21.26
1981-04-20,12.50,0.00,1.84,-1.84,0.46,0.64,22.17
1981-04-21,6.10,0.00,1.25,-1.25,0.32,0.58,23.00
1981-04-22,3.30,0.00,1.05,-1.05,0.29,0.54,23.77
1981-04-23,8.90,7.60,1.50,6.10,0.68,2.33,23.35
1981-04-24,10.00,2.50,1.62,0.88,1.42,0.78,23.92
1981-04-25,12.50,0.00,1.90,-1.90,1.18,0.49,24.62
1981-04-26,6.70,0.00,1.33,-1.33,1.26,0.46,25.27
1981-04-27,10.60,0.00,1.71,-1.71,1.26,0.43,25.88
1981-04-28,12.50,0.00,1.93,-1.93,1.50,0.40,26.46
1981-04-29,15.60,0.00,2.36,-2.36,1.73,0.38,27.00
1981-04-30,15.30,0.00,2.33,-2.33,1.10,0.36,27.51
1981-05-01,12.20,5.10,1.93,3.17,1.02,1.29,27.40
1981-05-02,13.90,12.70,2.16,10.54,5.27,3.51,25.88
1981-05-03,10.60,0.00,1.77,-1.77,3.23,0.40,26.46
1981-05-04,13.60,0.00,2.14,-2.14,1.97,0.38,27.00
1981-05-05,17.80,0.00,2.79,-2.79,1.57,0.36,27.51
1981-05-06,15.80,0.00,2.48,-2.48,1.42,0.34,28.00
1981-05-07,12.50,0.00,2.03,-2.03,0.94,0.33,28.46
1981-05-08,11.40,0.00,1.91,-1.91,0.76,0.31,28.91
1981-05-09,11.10,0.00,1.88,-1.88,0.54,0.30,29.33
1981-05-10,12.20,0.00,2.03,-2.03,0.39,0.28,29.74
1981-05-11,16.40,63.50,2.64,60.86,18.11,24.91,2.09
1981-05-12,16.40,0.00,2.66,-2.66,10.23,4.33,8.29
1981-05-13,13.10,0.00,2.17,-2.17,2.28,2.33,11.62
1981-05-14,14.20,0.00,2.34,-2.34,1.34,1.67,14.01
1981-05-15,17.50,25.40,2.88,22.52,4.80,11.14,4.91
1981-05-16,19.40,0.00,3.26,-3.26,6.22,3.27,9.59
1981-05-17,13.60,0.00,2.28,-2.28,1.73,2.05,12.51
1981-05-18,13.60,0.00,2.29,-2.29,1.18,1.53,14.70
1981-05-19,13.30,0.00,2.26,-2.26,0.87,1.23,16.45
1981-05-20,11.70,0.00,2.06,-2.06,0.73,1.03,17.93
1981-05-21,14.20,0.00,2.41,-2.41,0.61,0.89,19.20
1981-05-22,15.00,0.00,2.54,-2.54,0.50,0.78,20.32
1981-05-23,17.20,0.00,2.92,-2.92,0.41,0.70,21.32
1981-05-24,16.90,0.00,2.88,-2.88,0.31,0.63,22.22
1981-05-25,20.30,0.00,3.57,-3.57,0.27,0.58,23.05
1981-05-26,22.20,0.00,4.03,-4.03,0.20,0.53,23.81
1981-05-27,23.10,0.00,4.28,-4.28,0.21,0.49,24.52
1981-05-28,23.60,0.00,4.42,-4.42,0.18,0.46,25.18
1981-05-29,21.70,0.00,3.95,-3.95,0.25,0.43,25.79
1981-05-30,19.70,0.00,3.50,-3.50,0.16,0.41,26.37
1981-05-31,23.30,0.00,4.38,-4.38,0.16,0.38,26.92
1981-06-01,17.80,0.00,3.12,-3.12,0.02,0.36,27.43
1981-06-02,18.10,22.90,3.19,19.71,2.76,6.26,24.20
1981-06-03,15.30,5.10,2.69,2.41,0.64,1.20,24.43
1981-06-04,17.20,0.00,3.03,-3.03,0.79,0.46,25.09
1981-06-05,21.40,0.00,3.94,-3.94,0.30,0.43,25.72
1981-06-06,22.50,0.00,4.23,-4.23,0.24,0.41,26.30
1981-06-07,21.10,0.00,3.89,-3.89,0.18,0.39,26.85
1981-06-08,17.20,0.00,3.06,-3.06,0.05,0.36,27.37
1981-06-09,20.00,2.50,3.65,-1.15,0.59,0.35,27.86
1981-06-10,21.90,0.00,4.11,-4.11,0.31,0.33,28.34
1981-06-11,17.50,0.00,3.13,-3.13,0.20,0.31,28.78
1981-06-12,20.60,0.00,3.80,-3.80,0.03,0.30,29.21
1981-06-13,22.20,0.00,4.20,-4.20,0.01,0.29,29.62
1981-06-14,22.20,17.80,4.21,13.59,2.13,4.35,27.42
1981-06-15,17.20,2.50,3.09,-0.59,0.79,0.34,27.91
1981-06-16,22.80,0.00,4.37,-4.37,0.28,0.33,28.38
1981-06-17,27.80,0.00,5.97,-5.97,0.18,0.31,28.83
1981-06-18,20.00,0.00,3.68,-3.68,0.12,0.30,29.26
1981-06-19,21.40,0.00,4.02,-4.02,0.10,0.29,29.67
1981-06-20,21.90,7.60,4.14,3.46,0.70,1.31,29.39
1981-06-21,21.10,0.00,3.94,-3.94,0.27,0.28,29.79
1981-06-22,23.30,2.50,4.52,-2.02,0.61,0.27,30.18
1981-06-23,24.70,0.00,4.93,-4.93,0.20,0.26,30.55
1981-06-24,19.40,0.00,3.55,-3.55,0.13,0.25,30.91
1981-06-25,20.80,20.30,3.87,16.43,2.76,5.17,28.10
1981-06-26,22.80,0.00,4.38,-4.38,1.34,0.32,28.56
1981-06-27,16.40,0.00,2.94,-2.94,0.29,0.31,29.00
1981-06-28,19.40,0.00,3.54,-3.54,0.17,0.29,29.42
1981-06-29,20.80,0.00,3.86,-3.86,0.13,0.28,29.82
1981-06-30,22.50,0.00,4.28,-4.28,0.12,0.27,30.21
1981-07-01,22.80,7.60,4.36,3.24,0.43,1.23,29.95
1981-07-02,23.90,0.00,4.66,-4.66,0.24,0.27,30.33
1981-07-03,23.90,0.00,4.65,-4.65,0.13,0.26,30.70
1981-07-04,25.00,43.20,4.97,38.23,7.16,11.72,23.79
1981-07-05,21.10,2.50,3.90,-1.40,3.23,0.50,24.49
1981-07-06,22.20,0.00,4.16,-4.16,0.87,0.46,25.15
1981-07-07,24.20,0.00,4.70,-4.70,0.54,0.43,25.77
1981-07-08,26.10,0.00,5.28,-5.28,0.39,0.41,26.35
1981-07-09,26.90,0.00,5.54,-5.54,0.28,0.38,26.90
1981-07-10,28.60,0.00,6.14,-6.14,0.25,0.36,27.42
1981-07-11,23.90,0.00,4.58,-4.58,0.28,0.34,27.91
1981-07-12,25.60,0.00,5.07,-5.07,0.13,0.33,28.38
1981-07-13,26.70,15.20,5.41,9.79,1.81,3.25,26.96
1981-07-14,26.10,0.00,5.20,-5.20,0.70,0.36,27.48
1981-07-15,21.10,0.00,3.80,-3.80,0.13,0.34,27.97
1981-07-16,20.60,0.00,3.68,-3.68,0.13,0.33,28.43
1981-07-17,21.70,0.00,3.92,-3.92,0.10,0.31,28.88
1981-07-18,23.60,0.00,4.40,-4.40,0.09,0.30,29.30
1981-07-19,25.30,0.00,4.87,-4.87,0.07,0.29,29.71
1981-07-20,25.80,25.40,5.01,20.39,2.13,6.39,26.21
1981-07-21,24.40,7.60,4.57,3.03,4.33,1.30,26.19
1981-07-22,24.40,0.00,4.56,-4.56,0.54,0.39,26.74
1981-07-23,20.80,0.00,3.63,-3.63,0.20,0.37,27.27
1981-07-24,20.00,0.00,3.44,-3.44,0.13,0.35,27.77
1981-07-25,20.60,0.00,3.56,-3.56,0.10,0.33,28.24
1981-07-26,21.90,0.00,3.84,-3.84,0.09,0.32,28.70
1981-07-27,25.30,22.90,4.72,18.18,5.75,5.76,25.67
1981-07-28,22.20,0.00,3.88,-3.88,0.51,0.41,26.26
1981-07-29,20.80,5.10,3.54,1.56,0.79,0.85,26.51
1981-07-30,19.40,0.00,3.23,-3.23,0.17,0.38,27.05
1981-07-31,20.30,0.00,3.40,-3.40,0.13,0.36,27.56
1981-08-01,21.10,0.00,3.56,-3.56,0.10,0.34,28.05
1981-08-02,21.90,0.00,3.72,-3.72,0.08,0.32,28.51
1981-08-03,22.80,0.00,3.91,-3.91,0.06,0.31,28.95
1981-08-04,22.20,0.00,3.75,-3.75,0.06,0.30,29.37
1981-08-05,24.70,10.20,4.36,5.84,2.44,2.04,28.66
1981-08-06,23.30,0.00,3.98,-3.98,0.19,0.30,29.09
1981-08-07,21.90,0.00,3.63,-3.63,0.10,0.29,29.51
1981-08-08,23.10,15.20,3.88,11.32,3.07,3.68,27.75
1981-08-09,20.00,0.00,3.19,-3.19,0.79,0.33,28.22
1981-08-10,23.60,0.00,3.96,-3.96,0.18,0.32,28.68
1981-08-11,24.40,0.00,4.14,-4.14,0.12,0.30,29.11
1981-08-12,25.00,0.00,4.28,-4.28,0.37,0.29,29.53
1981-08-13,20.60,0.00,3.24,-3.24,0.17,0.28,29.93
1981-08-14,22.20,0.00,3.55,-3.55,0.11,0.27,30.31
1981-08-15,23.90,0.00,3.92,-3.92,0.10,0.26,30.68
1981-08-16,24.70,0.00,4.10,-4.10,0.12,0.25,31.03
1981-08-17,20.30,0.00,3.10,-3.10,0.08,0.24,31.37
1981-08-18,16.90,0.00,2.50,-2.50,0.03,0.23,31.71
1981-08-19,18.90,0.00,2.81,-2.81,0.00,0.22,32.03
1981-08-20,20.30,0.00,3.04,-3.04,0.00,0.22,32.34
1981-08-21,18.30,0.00,2.67,-2.67,0.00,0.21,32.64
1981-08-22,20.30,0.00,3.01,-3.01,0.00,0.20,32.93
1981-08-23,18.10,0.00,2.61,-2.61,0.00,0.20,33.21
1981-08-24,20.00,0.00,2.91,-2.91,0.00,0.19,33.49
1981-08-25,19.70,0.00,2.84,-2.84,0.00,0.19,33.76
1981-08-26,20.00,0.00,2.88,-2.88,0.00,0.18,34.02
1981-08-27,20.00,0.00,2.86,-2.86,0.00,0.18,34.27
1981-08-28,22.50,0.00,3.31,-3.31,0.00,0.17,34.52
1981-08-29,22.50,0.00,3.29,-3.29,0.00,0.17,34.76
1981-08-30,23.90,2.50,3.57,-1.07,0.02,0.17,35.00
1981-08-31,23.10,0.00,3.37,-3.37,0.13,0.16,35.23
1981-09-01,21.90,0.00,3.11,-3.11,0.09,0.16,35.45
1981-09-02,22.80,0.00,3.26,-3.26,0.09,0.15,35.67
1981-09-03,20.30,0.00,2.78,-2.78,0.07,0.15,35.89
1981-09-04,19.70,0.00,2.66,-2.66,0.06,0.15,36.10
1981-09-05,18.60,0.00,2.46,-2.46,0.06,0.14,36.31
1981-09-06,20.60,0.00,2.77,-2.77,0.03,0.14,36.51
1981-09-07,20.80,0.00,2.78,-2.78,0.03,0.14,36.71
1981-09-08,20.60,20.30,2.73,17.57,4.33,5.41,33.46
1981-09-09,19.20,0.00,2.48,-2.48,1.89,0.19,33.73
1981-09-10,15.00,0.00,1.90,-1.90,0.15,0.18,33.99
1981-09-11,15.80,0.00,1.98,-1.98,0.12,0.18,34.24
1981-09-12,20.60,0.00,2.65,-2.65,0.12,0.17,34.49
1981-09-13,20.80,0.00,2.67,-2.67,0.09,0.17,34.73
1981-09-14,20.30,0.00,2.56,-2.56,0.08,0.17,34.97
1981-09-15,23.60,12.70,3.12,9.58,0.51,3.04,33.33
1981-09-16,17.20,17.80,2.08,15.72,9.45,4.91,30.55
1981-09-17,15.30,0.00,1.84,-1.84,1.10,0.25,30.91
1981-09-18,16.70,0.00,1.99,-1.99,3.54,0.24,31.26
1981-09-19,16.10,0.00,1.90,-1.90,0.79,0.23,31.59
1981-09-20,14.20,0.00,1.68,-1.68,0.37,0.23,31.92
1981-09-21,14.20,0.00,1.67,-1.67,0.25,0.22,32.23
1981-09-22,14.20,0.00,1.65,-1.65,0.28,0.21,32.54
1981-09-23,16.70,0.00,1.92,-1.92,0.33,0.21,32.83
1981-09-24,12.50,0.00,1.47,-1.47,0.13,0.20,33.12
1981-09-25,11.90,0.00,1.40,-1.40,0.09,0.19,33.40
1981-09-26,14.40,0.00,1.62,-1.62,0.09,0.19,33.67
1981-09-27,15.80,0.00,1.76,-1.76,0.09,0.18,33.93
1981-09-28,18.90,0.00,2.11,-2.11,0.09,0.18,34.19
1981-09-29,10.60,0.00,1.25,-1.25,0.09,0.18,34.44
1981-09-30,10.00,0.00,1.20,-1.20,0.06,0.17,34.68
1981-10-01,10.00,10.20,1.19,9.01,0.02,2.87,33.16
1981-10-02,12.20,5.10,1.35,3.75,3.15,1.32,32.71
1981-10-03,10.60,0.00,1.21,-1.21,0.32,0.20,33.00
1981-10-04,7.80,0.00,1.01,-1.01,0.13,0.20,33.28
1981-10-05,9.40,0.00,1.11,-1.11,0.14,0.19,33.55
1981-10-06,15.30,10.20,1.59,8.61,0.42,2.77,32.15
1981-10-07,14.40,0.00,1.49,-1.49,1.10,0.21,32.46
1981-10-08,11.70,0.00,1.25,-1.25,0.18,0.21,32.75
1981-10-09,8.30,0.00,1.00,-1.00,0.10,0.20,33.04
1981-10-10,8.30,0.00,0.99,-0.99,0.05,0.20,33.32
1981-10-11,7.50,0.00,0.94,-0.94,0.03,0.19,33.60
1981-10-12,8.10,0.00,0.97,-0.97,0.01,0.19,33.86
1981-10-13,5.00,0.00,0.79,-0.79,0.00,0.18,34.12
1981-10-14,6.90,0.00,0.88,-0.88,0.00,0.18,34.37
1981-10-15,8.90,0.00,0.99,-0.99,0.00,0.17,34.62
1981-10-16,8.30,0.00,0.95,-0.95,0.00,0.17,34.86
1981-10-17,11.70,0.00,1.16,-1.16,0.00,0.16,35.09
1981-10-18,8.90,20.30,0.97,19.33,2.60,5.96,31.55
1981-10-19,9.40,0.00,0.99,-0.99,1.57,0.23,31.88
1981-10-20,3.90,0.00,0.70,-0.70,0.28,0.22,32.19
1981-10-21,5.60,0.00,0.77,-0.77,0.17,0.21,32.50
1981-10-22,10.30,0.00,1.02,-1.02,0.14,0.21,32.79
1981-10-23,12.50,15.20,1.16,14.04,1.50,4.41,30.36
1981-10-24,7.80,0.00,0.86,-0.86,1.34,0.26,30.73
1981-10-25,4.20,0.00,0.69,-0.69,0.39,0.25,31.08
1981-10-26,6.90,10.20,0.80,9.40,2.36,3.06,29.60
1981-10-27,12.80,33.00,1.15,31.85,11.02,9.83,23.95
1981-10-28,15.30,0.00,1.33,-1.33,5.51,0.49,24.65
1981-10-29,10.80,0.00,1.00,-1.00,1.18,0.45,25.30
1981-10-30,6.90,0.00,0.78,-0.78,0.68,0.43,25.91
1981-10-31,7.50,0.00,0.80,-0.80,0.50,0.40,26.48
1981-11-01,8.30,0.00,0.84,-0.84,0.41,0.38,27.02
1981-11-02,9.20,0.00,0.88,-0.88,0.35,0.36,27.53
1981-11-03,12.20,0.00,1.05,-1.05,0.28,0.34,28.02
1981-11-04,9.20,0.00,0.86,-0.86,0.26,0.32,28.48
1981-11-05,10.80,0.00,0.95,-0.95,0.24,0.31,28.92
1981-11-06,10.30,12.70,0.91,11.79,2.60,3.83,27.10
1981-11-07,8.60,0.00,0.82,-0.82,0.61,0.36,27.61
1981-11-08,6.40,0.00,0.71,-0.71,0.43,0.34,28.09
1981-11-09,6.90,0.00,0.72,-0.72,0.39,0.32,28.55
1981-11-10,7.80,0.00,0.76,-0.76,0.35,0.31,28.99
1981-11-11,3.30,0.00,0.57,-0.57,0.30,0.29,29.41
1981-11-12,5.60,0.00,0.65,-0.65,0.28,0.28,29.82
1981-11-13,2.50,0.00,0.54,-0.54,0.24,0.27,30.20
1981-11-14,3.90,0.00,0.58,-0.58,0.24,0.26,30.58
1981-11-15,10.00,10.20,0.84,9.36,0.87,3.06,29.13
1981-11-16,9.70,0.00,0.82,-0.82,1.34,0.29,29.54
1981-11-17,5.80,0.00,0.64,-0.64,0.57,0.28,29.94
1981-11-18,6.10,2.50,0.65,1.85,0.51,0.82,29.96
1981-11-19,9.40,0.00,0.79,-0.79,0.39,0.27,30.34
1981-11-20,10.30,15.20,0.83,14.37,1.42,4.57,27.95
1981-11-21,7.80,2.50,0.71,1.79,0.76,0.86,28.08
1981-11-22,5.00,5.10,0.59,4.51,0.51,1.68,27.68
1981-11-23,3.10,0.00,0.52,-0.52,0.43,0.34,28.16
1981-11-24,-1.90,0.00,0.38,-0.38,0.38,0.32,28.62
1981-11-25,-0.80,0.00,0.41,-0.41,0.35,0.31,29.05
1981-11-26,-1.10,0.00,0.40,-0.40,0.29,0.29,29.47
1981-11-27,0.30,0.00,0.43,-0.43,0.31,0.28,29.87
1981-11-28,6.90,0.00,0.65,-0.65,0.31,0.27,30.26
1981-11-29,2.50,0.00,0.49,-0.49,0.26,0.26,30.63
1981-11-30,2.80,0.00,0.50,-0.50,0.19,0.25,30.98
1981-12-01,-1.70,22.90,0.37,22.53,3.86,7.00,27.01
1981-12-02,2.20,20.30,0.47,19.83,13.38,6.31,23.78
1981-12-03,6.10,0.00,0.60,-0.60,1.89,0.50,24.49
1981-12-04,3.10,0.00,0.50,-0.50,1.02,0.46,25.15
1981-12-05,3.90,0.00,0.52,-0.52,0.71,0.43,25.77
1981-12-06,2.80,0.00,0.48,-0.48,0.53,0.41,26.35
1981-12-07,0.80,0.00,0.43,-0.43,0.43,0.38,26.89
1981-12-08,3.90,5.10,0.52,4.58,0.87,1.74,26.54
1981-12-09,1.90,0.00,0.46,-0.46,0.55,0.38,27.08
1981-12-10,-2.50,7.60,0.34,7.26,0.36,2.53,26.21
1981-12-11,-1.90,0.00,0.36,-0.36,0.28,0.39,26.76
1981-12-12,0.30,0.00,0.41,-0.41,0.25,0.37,27.29
1981-12-13,-2.20,2.50,0.35,2.15,0.21,0.99,27.38
1981-12-14,-2.80,15.20,0.34,14.86,0.47,4.80,25.04
1981-12-15,-2.50,35.60,0.34,35.26,20.47,11.33,19.19
1981-12-16,1.40,2.50,0.43,2.07,14.17,1.45,19.94
1981-12-17,-1.70,0.00,0.36,-0.36,4.09,0.73,20.98
1981-12-18,-3.10,0.00,0.33,-0.33,2.36,0.66,21.92
1981-12-19,-5.60,0.00,0.28,-0.28,1.50,0.60,22.77
1981-12-20,-7.80,0.00,0.24,-0.24,1.02,0.55,23.56
1981-12-21,-9.20,0.00,0.23,-0.23,0.79,0.51,24.28
1981-12-22,-7.80,0.00,0.24,-0.24,0.76,0.47,24.95
1981-12-23,1.10,5.10,0.43,4.67,5.35,1.91,24.70
1981-12-24,3.90,0.00,0.51,-0.51,3.07,0.45,25.35
1981-12-25,1.10,0.00,0.43,-0.43,1.81,0.42,25.95
1981-12-26,-3.10,0.00,0.33,-0.33,1.18,0.40,26.52
1981-12-27,-1.90,2.50,0.35,2.15,1.81,1.04,26.65
1981-12-28,-0.30,0.00,0.39,-0.39,1.81,0.37,27.18
1981-12-29,1.90,0.00,0.45,-0.45,1.34,0.35,27.69
1981-12-30,-1.10,0.00,0.38,-0.38,0.94,0.34,28.17
1981-12-31,-2.80,0.00,0.34,-0.34,0.74,0.32,28.62
